Country,Code,Year,Mismanaged plastic waste per capita (kg per year),"GDP per capita, PPP (constant 2017 international $)"
Afghanistan,AFG,2002,,1280.46
Afghanistan,AFG,2003,,1292.33
Afghanistan,AFG,2004,,1260.06
Afghanistan,AFG,2005,,1352.32
Afghanistan,AFG,2006,,1366.99
Afghanistan,AFG,2007,,1528.34
Afghanistan,AFG,2008,,1556.84
Afghanistan,AFG,2009,,1823.74
Afghanistan,AFG,2010,,2026.16
Afghanistan,AFG,2011,,1961.1
Afghanistan,AFG,2012,,2122.83
Afghanistan,AFG,2013,,2165.34
Afghanistan,AFG,2014,,2144.45
Afghanistan,AFG,2015,,2108.71
Afghanistan,AFG,2016,,2101.42
Afghanistan,AFG,2017,,2096.09
Afghanistan,AFG,2018,,2060.7
Afghanistan,AFG,2019,,2079.92
Afghanistan,AFG,2020,,1968.34
Afghanistan,AFG,2021,,1516.31
Armenia,ARM,1990,,5153.3
Armenia,ARM,1991,,4473.52
Armenia,ARM,1992,,2634.96
Armenia,ARM,1993,,2484.55
Armenia,ARM,1994,,2683.64
Armenia,ARM,1995,,2912.78
Armenia,ARM,1996,,3105.95
Armenia,ARM,1997,,3236.06
Armenia,ARM,1998,,3505.37
Armenia,ARM,1999,,3660.03
Armenia,ARM,2000,,3921.86
Armenia,ARM,2001,,4346.91
Armenia,ARM,2002,,4965.22
Armenia,ARM,2003,,5698.78
Armenia,ARM,2004,,6334.86
Armenia,ARM,2005,,7259.2
Armenia,ARM,2006,,8273.79
Armenia,ARM,2007,,9476.47
Armenia,ARM,2008,,10201.56
Armenia,ARM,2009,,8819.68
Armenia,ARM,2010,,9068.79
Armenia,ARM,2011,,9551.16
Armenia,ARM,2012,,10289.98
Armenia,ARM,2013,,10677.3
Armenia,ARM,2014,,11105.53
Armenia,ARM,2015,,11506.04
Armenia,ARM,2016,,11580.38
Armenia,ARM,2017,,12509.64
Armenia,ARM,2018,,13231.43
Armenia,ARM,2019,,14317.55
Armenia,ARM,2020,,13357.7
Armenia,ARM,2021,,14193.12
Azerbaijan,AZE,1990,,7616.91
Azerbaijan,AZE,1991,,7463.63
Azerbaijan,AZE,1992,,5690.18
Azerbaijan,AZE,1993,,4309.92
Azerbaijan,AZE,1994,,3414.51
Azerbaijan,AZE,1995,,2977
Azerbaijan,AZE,1996,,2985.34
Azerbaijan,AZE,1997,,3128.16
Azerbaijan,AZE,1998,,3408.48
Azerbaijan,AZE,1999,,3628.72
Azerbaijan,AZE,2000,,3998.52
Azerbaijan,AZE,2001,,4360.46
Azerbaijan,AZE,2002,,4736.56
Azerbaijan,AZE,2003,,5180.69
Azerbaijan,AZE,2004,,5610.76
Azerbaijan,AZE,2005,,7106.6
Azerbaijan,AZE,2006,,9453.94
Azerbaijan,AZE,2007,,11684.19
Azerbaijan,AZE,2008,,12672.38
Azerbaijan,AZE,2009,,13565.86
Azerbaijan,AZE,2010,,14082.24
Azerbaijan,AZE,2011,,13913.84
Azerbaijan,AZE,2012,,14027.47
Azerbaijan,AZE,2013,,14651.69
Azerbaijan,AZE,2014,,14867.94
Azerbaijan,AZE,2015,,14852.61
Azerbaijan,AZE,2016,,14232.19
Azerbaijan,AZE,2017,,14121.41
Azerbaijan,AZE,2018,,14209.59
Azerbaijan,AZE,2019,,14442.04
Azerbaijan,AZE,2020,,13726.77
Azerbaijan,AZE,2021,,14431.66
Bahrain,BHR,2019,0.64,49768.98
Bahrain,BHR,1990,,36997.73
Bahrain,BHR,1991,,39769.31
Bahrain,BHR,1992,,40971.73
Bahrain,BHR,1993,,44690.41
Bahrain,BHR,1994,,43113.48
Bahrain,BHR,1995,,43369.15
Bahrain,BHR,1996,,43737.19
Bahrain,BHR,1997,,43716.02
Bahrain,BHR,1998,,44458.44
Bahrain,BHR,1999,,45053.75
Bahrain,BHR,2000,,46154.03
Bahrain,BHR,2001,,46084.93
